UserId,ItemId,itemage,rating,predOP
0,24,0,5.0,0.22076492
0,229,0,4.5,0.21326564
0,15,3,5.0,0.47255164
0,182,0,4.5,0.39712659999999994
0,216,0,4.0,0.16068521
0,188,0,4.5,0.28929508
0,145,0,4.5,0.18247679999999997
0,26,4,4.5,0.3189593
0,194,0,5.0,0.37361377
0,170,1,4.5,0.17716381
0,107,2,5.0,0.15629123
0,137,0,4.5,0.15800586
0,131,0,4.5,0.123646356
0,93,3,4.5,0.12192769
1,219,15,4.0,0.18086015
1,249,3,4.5,0.30151153
1,238,7,4.5,0.39743972
1,253,0,4.0,0.5729365
1,240,6,4.5,0.2667122
3,382,2,2.5,0.09448907
3,127,0,5.0,0.20564187
3,16,3,4.5,0.35367550000000003
3,3,3,3.5,0.22049591
3,355,3,4.0,0.21342508
3,184,0,5.0,0.5195154000000001
3,347,3,4.0,0.15194654
3,210,0,4.0,0.15791231
3,205,0,4.0,0.2161879
3,76,3,4.0,0.21517192
3,401,0,4.0,0.41208562
3,340,3,3.0,0.02462574
3,413,0,5.0,0.08909331
3,84,3,4.0,0.22374974
3,313,4,3.5,0.15523824
3,171,1,1.5,0.33606514
3,429,0,4.0,0.13105696
3,437,0,3.0,0.11796719
4,32,0,4.0,0.65760076
4,463,0,4.0,0.7098399999999999
4,232,0,4.5,0.6068924
4,28,0,4.5,0.40945333
4,313,0,3.5,0.36319175
4,476,0,3.5,0.10976861
4,465,0,3.5,0.5308689999999999
5,32,0,4.0,0.65760076
5,19,0,4.0,0.5749571
5,26,0,4.0,0.6768684
5,486,0,4.0,0.50774586
5,465,0,3.5,0.5308689999999999
5,539,0,3.5,0.545385
5,7,0,4.0,0.64350414
5,621,0,4.0,0.6179744
5,473,0,3.5,0.35941944
5,467,0,3.5,0.35873309999999997
5,636,0,4.0,0.320237
5,632,0,3.5,0.26397416
5,491,0,3.5,0.26479400000000003
5,524,0,3.5,0.4281696
5,656,0,3.5,0.27271825
5,8,0,3.5,0.17397937
5,588,0,4.0,0.19133258
5,495,0,3.5,0.34033406
5,556,0,4.0,0.19755666
5,642,0,3.5,0.16406113
5,590,0,3.5,0.10029293
5,620,0,3.0,0.07001595
5,1,0,3.5,0.29908818
5,542,0,3.0,0.029729392
5,669,0,3.5,0.04734004
5,503,0,3.5,0.030110635
5,343,0,4.0,0.1859487
6,76,8,4.5,0.10772222
6,761,2,3.0,0.12135523599999999
6,20,8,4.0,0.21377413
6,26,8,3.5,0.23835549999999997
6,782,0,3.5,0.37487719999999997
6,766,2,4.5,0.10710693
7,33,0,3.5,0.7701307
7,472,0,3.5,0.68294334
7,463,0,4.0,0.7098399999999999
7,34,0,4.0,0.5512412
7,604,0,3.0,0.48852235
7,638,0,3.5,0.59464973
7,3,0,3.5,0.4699325
7,27,0,3.0,0.48742378
